"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","OK","DMCCP"," 72"," 120"," 98"," 91"," 62"," 68"," 90"," 100"," 122"," 120"," 95"," 166"," 360"," 414"," 414"," 406"," 547"," 489"," 594"," 209"," 315"," 524"," 157"," 597"," 734"," 732"," 296"," 449"," 657"," 743"," 626"," 484"," 371"," 325"," 239"," 270"," 383"," 566"," 619"," 362"," 242"," 673"," 350"," 98"," 293"," 252"," 292"," 473"," 614"," 742"," 651"," 536"," 688"," 588"," 641"," 836"," 949"," 1027"," 556"," 825"," 789"," 685"," 709"," 663"
"2023F","OK","DMEIB"," 154"," 125"," 165"," 297"," 227"," 131"," 127"," 113"," 161"," 128"," 300"," 262"," 309"," 288"," 230"," 323"," 299"," 418"," 491"," 350"," 345"," 218"," 329"," 289"," 340"," 457"," 673"," 391"," 325"," 306"," 164"," 152"," 104"," 121"," 109"," 99"," 488"," 119"," 105"," 141"," 451"," 1493"," 105"," 891"," 183"," 131"," 268"," 339"," 133"," 135"," 139"," 175"," 121"," 105"," 126"," 98"," 178"," 158"," 179"," 188"," 291"," 382"," 307"," 216"
"2023F","OK","DMEIP"," 26"," 21"," 28"," 51"," 39"," 22"," 22"," 19"," 28"," 22"," 51"," 45"," 53"," 49"," 40"," 55"," 51"," 72"," 84"," 60"," 59"," 37"," 56"," 50"," 58"," 79"," 116"," 67"," 56"," 52"," 28"," 26"," 18"," 21"," 19"," 17"," 84"," 20"," 18"," 24"," 77"," 257"," 18"," 153"," 31"," 23"," 46"," 59"," 23"," 23"," 24"," 30"," 21"," 18"," 22"," 17"," 31"," 27"," 31"," 33"," 51"," 66"," 53"," 38"
"2023F","OK","DMICB"," 6950"," 9731"," 9277"," 8286"," 5275"," 7005"," 9435"," 10216"," 12546"," 11326"," 12139"," 14492"," 22141"," 25525"," 23892"," 24269"," 32437"," 35999"," 41195"," 35742"," 21582"," 29428"," 26984"," 34211"," 42020"," 42029"," 21339"," 18785"," 19404"," 18854"," 20921"," 18597"," 24276"," 18322"," 18464"," 16721"," 19719"," 20152"," 19372"," 16996"," 19441"," 21931"," 20129"," 21928"," 21206"," 20064"," 22036"," 23786"," 23989"," 12194"," 15053"," 14704"," 25874"," 26142"," 33116"," 21854"," 23306"," 38016"," 34707"," 26135"," 13864"," 28607"," 28918"," 28225"
"2023F","OK","DMICP"," 1193"," 1671"," 1593"," 1423"," 906"," 1203"," 1620"," 1754"," 2154"," 1944"," 2084"," 2488"," 3801"," 4382"," 4102"," 4166"," 5569"," 6180"," 7072"," 6136"," 3705"," 5052"," 4632"," 5873"," 7214"," 7215"," 3663"," 3225"," 3331"," 3237"," 3592"," 3193"," 4167"," 3145"," 3172"," 2873"," 3388"," 3462"," 3329"," 2921"," 3341"," 3769"," 3459"," 3768"," 3645"," 3449"," 3797"," 4112"," 4150"," 2111"," 2607"," 2548"," 4487"," 4536"," 5746"," 3793"," 4048"," 6603"," 6027"," 4538"," 2409"," 4963"," 5016"," 4897"
"2023F","OK","DMRCB"," 12"," 20"," 17"," 15"," 10"," 12"," 15"," 17"," 21"," 20"," 16"," 28"," 61"," 70"," 70"," 69"," 93"," 83"," 101"," 36"," 88"," 558"," 6"," 438"," 537"," 498"," 183"," 64"," 171"," 3"," 1"," 0"," 11"," 1"," 1"," 63"," 135"," 21"," 7"," 12"," 14"," 15"," 11"," 6"," 5"," 6"," 6"," 174"," 6"," 17"," 15"," 74"," 42"," 37"," 21"," 6"," 24"," 9"," 12"," 16"," 271"," 24"," 25"," 24"
"2023F","OK","DMRCP"," 2"," 3"," 3"," 3"," 2"," 2"," 3"," 3"," 4"," 4"," 3"," 5"," 10"," 12"," 12"," 12"," 16"," 14"," 17"," 6"," 15"," 96"," 1"," 75"," 92"," 86"," 31"," 11"," 29"," 0"," 0"," 0"," 2"," 0"," 0"," 11"," 23"," 4"," 1"," 2"," 2"," 3"," 2"," 1"," 1"," 1"," 1"," 30"," 1"," 3"," 3"," 13"," 7"," 6"," 4"," 1"," 4"," 2"," 2"," 3"," 47"," 4"," 4"," 4"
"2023F","OK","DMTCB"," 15251"," 18344"," 18831"," 21653"," 19360"," 16757"," 20569"," 22648"," 30077"," 28689"," 32528"," 31904"," 46276"," 52140"," 51544"," 55038"," 69059"," 75524"," 84539"," 84813"," 70627"," 90215"," 84533"," 96633"," 106638"," 109059"," 81241"," 83731"," 88065"," 87073"," 90128"," 81988"," 92878"," 93369"," 94790"," 97031"," 116096"," 121740"," 125923"," 128898"," 164384"," 205421"," 178949"," 178275"," 132401"," 163021"," 185428"," 195359"," 202982"," 168481"," 173549"," 174127"," 174301"," 165362"," 183490"," 173748"," 168547"," 194318"," 186782"," 175028"," 154350"," 173902"," 177034"," 172112"
"2023F","OK","DMTCP"," 2618"," 3149"," 3233"," 3717"," 3324"," 2877"," 3531"," 3888"," 5163"," 4925"," 5584"," 5477"," 7944"," 8951"," 8849"," 9449"," 11856"," 12965"," 14513"," 14560"," 12125"," 15488"," 14512"," 16589"," 18307"," 18723"," 13947"," 14374"," 15118"," 14948"," 15473"," 14075"," 15945"," 16029"," 16287"," 16672"," 19948"," 20917"," 21640"," 22151"," 28249"," 35302"," 30752"," 30637"," 22757"," 28020"," 31954"," 33776"," 35118"," 29146"," 30038"," 30150"," 30194"," 28648"," 31794"," 30104"," 29207"," 33683"," 32374"," 30338"," 26756"," 30144"," 30686"," 29834"
"2023F","OK","ELEXB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ELEXP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ELGBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 20262"," 20849"," 21022"," 21824"," 23485"," 23300"," 24048"," 24835"," 26016"," 26691"," 27401"," 27376"," 28657"," 29824"," 32619"," 31690"
"2023F","OK","ELIMB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ELIMP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ELISB","-18111","-16458","-22538","-29397","-30175","-26432","-33599","-37553","-33038","-52573","-75143","-69732","-67116","-69345","-81819","-81395","-94020","-75236","-101821","-106171","-118710","-84766","-81949","-83128","-93487","-62954","-54289","-65941","-62748","-63277"," 5573","-54274","-74531","-79580","-42733","-65674","-35518","-33419","-29794","-25345","-45","-3110","-44649","-48082","-37368","-90131","-98235","-118615","-140571","-150709","-90277","-93628","-124433","-76896","-29947","-79542","-93564","-62013","-128683","-117097","-113312","-81446","-70558","-105676"
"2023F","OK","ELISP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 538","-4964","-6943","-7494","-3913","-6074","-3221","-3041","-2730","-2316","-4","-282","-4101","-4480","-3537","-8748","-9523","-11852","-14385","-15623","-9246","-9814","-13439","-8388","-3324","-9499","-11853","-8275","-17582","-17026","-16768","-11920","-10586","-16023"
"2023F","OK","ELNIB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","-2","-1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ELNIP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ELVHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1.3"," 2.1"," 5.1"," 5"," 5.1"," 13.6"," 24.3"," 50.9"
"2023F","OK","ELVHS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," .1"," .1"," .1"," .1"," .4"," .6"," 1.3"
"2023F","OK","EMACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 355"," 1259"," 600"," 178"," 160"," 197"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3464"," 3452"," 6815"," 12800"," 11669"," 12301"," 12057"," 12562"," 11911"," 13801"," 14820"," 14843"," 14646"," 14854"," 14859"," 13475"," 14544"," 14471"," 14784"
"2023F","OK","EMCCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 9"," 6"," 3"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11"," 10"," 34"," 58"," 47"," 44"," 43"," 46"," 49"," 48"," 318"," 311"," 288"," 290"," 296"," 298"," 303"," 375"," 315"
"2023F","OK","EMICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 10"," 4"," 3"," 4"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 127"," 139"," 197"," 325"," 303"," 229"," 243"," 237"," 253"," 214"," 296"," 315"," 321"," 323"," 307"," 306"," 305"," 321"," 299"
"2023F","OK","EMLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","EMTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 361"," 1278"," 610"," 184"," 165"," 203"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3602"," 3600"," 7046"," 13183"," 12019"," 12575"," 12343"," 12844"," 12213"," 14064"," 15434"," 15470"," 15255"," 15468"," 15462"," 14078"," 15152"," 15167"," 15399"
"2023F","OK","ENACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 102"," 363"," 173"," 51"," 46"," 57"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 999"," 995"," 1965"," 3691"," 3371"," 3549"," 3477"," 3622"," 3433"," 3975"," 4268"," 4275"," 4212"," 4262"," 4268"," 3876"," 4181"," 4156"," 4249"
"2023F","OK","ENCCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 3"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 10"," 17"," 14"," 13"," 12"," 13"," 14"," 14"," 92"," 90"," 83"," 83"," 85"," 86"," 87"," 108"," 91"
"2023F","OK","ENICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 3"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 37"," 40"," 57"," 94"," 87"," 66"," 70"," 68"," 73"," 62"," 85"," 91"," 92"," 93"," 88"," 88"," 88"," 92"," 86"
"2023F","OK","ENTCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 104"," 368"," 176"," 53"," 48"," 59"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1039"," 1038"," 2032"," 3801"," 3472"," 3628"," 3559"," 3703"," 3520"," 4051"," 4445"," 4455"," 4387"," 4438"," 4441"," 4050"," 4356"," 4356"," 4425"
"2023F","OK","EQICB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","EQICP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","EQTCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","EQTCP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ESACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ESACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","ESCCB"," 6498"," 6767"," 7746"," 8591"," 9202"," 10049"," 10832"," 11442"," 12589"," 13935"," 15064"," 16177"," 18256"," 19190"," 19809"," 23236"," 24301"," 26499"," 27890"," 28439"," 30725"," 36250"," 38802"," 40152"," 38309"," 39939"," 39749"," 39558"," 41395"," 40553"," 46619"," 43212"," 42358"," 44121"," 45360"," 45581"," 47182"," 48708"," 51900"," 51741"," 54555"," 56348"," 56846"," 57862"," 58074"," 59633"," 62087"," 63581"," 64904"," 63703"," 64846"," 66919"," 68107"," 67705"," 69771"," 70598"," 70614"," 69942"," 72434"," 68533"," 63801"," 68238"," 75786"," 78877"
"2023F","OK","ESCCP"," 1904"," 1983"," 2270"," 2518"," 2697"," 2945"," 3175"," 3353"," 3690"," 4084"," 4415"," 4741"," 5351"," 5624"," 5806"," 6810"," 7122"," 7766"," 8174"," 8335"," 9005"," 10624"," 11372"," 11768"," 11228"," 11706"," 11650"," 11594"," 12132"," 11885"," 13663"," 12665"," 12414"," 12931"," 13294"," 13359"," 13828"," 14275"," 15211"," 15164"," 15989"," 16515"," 16661"," 16958"," 17020"," 17477"," 18197"," 18634"," 19022"," 18670"," 19005"," 19613"," 19961"," 19843"," 20449"," 20691"," 20696"," 20499"," 21229"," 20086"," 18699"," 19999"," 22212"," 23117"
"2023F","OK","ESICB"," 8740"," 9426"," 9891"," 10582"," 11268"," 12156"," 13590"," 14412"," 15154"," 15996"," 16677"," 17889"," 20344"," 21937"," 23338"," 24679"," 27413"," 29830"," 31786"," 33557"," 33421"," 35426"," 35089"," 36019"," 35289"," 36086"," 34824"," 35544"," 36574"," 37666"," 40138"," 38948"," 39575"," 39917"," 39993"," 39969"," 41491"," 43680"," 44952"," 45281"," 47546"," 45571"," 44006"," 45407"," 48528"," 50908"," 51242"," 51856"," 52529"," 48565"," 51699"," 53940"," 56536"," 57615"," 60643"," 61517"," 61522"," 61947"," 65611"," 71324"," 69495"," 70901"," 74369"," 75214"
"2023F","OK","ESICP"," 2561"," 2763"," 2899"," 3101"," 3302"," 3563"," 3983"," 4224"," 4441"," 4688"," 4888"," 5243"," 5962"," 6430"," 6840"," 7233"," 8034"," 8743"," 9316"," 9835"," 9795"," 10383"," 10284"," 10557"," 10343"," 10576"," 10206"," 10417"," 10719"," 11039"," 11764"," 11415"," 11599"," 11699"," 11721"," 11714"," 12160"," 12802"," 13175"," 13271"," 13935"," 13356"," 12898"," 13308"," 14223"," 14920"," 15018"," 15198"," 15395"," 14233"," 15152"," 15809"," 16570"," 16886"," 17773"," 18029"," 18031"," 18156"," 19229"," 20904"," 20368"," 20780"," 21796"," 22044"
"2023F","OK","ESRCB"," 8093"," 8434"," 10039"," 11813"," 12832"," 13941"," 15154"," 15567"," 18288"," 21827"," 24884"," 26533"," 31257"," 32957"," 34761"," 31466"," 31740"," 35158"," 37713"," 36287"," 41998"," 45554"," 48239"," 49966"," 48651"," 49132"," 47437"," 48058"," 49388"," 48050"," 58268"," 52289"," 48634"," 54255"," 55028"," 55681"," 59037"," 59286"," 66571"," 62443"," 67012"," 67543"," 67992"," 68793"," 67213"," 72707"," 74008"," 72882"," 74590"," 73839"," 80826"," 83338"," 77827"," 79158"," 79674"," 77165"," 77759"," 74510"," 82287"," 81226"," 79269"," 81021"," 86935"," 81265"
"2023F","OK","ESRCP"," 2372"," 2472"," 2942"," 3462"," 3761"," 4086"," 4441"," 4563"," 5360"," 6397"," 7293"," 7776"," 9161"," 9659"," 10188"," 9222"," 9303"," 10304"," 11053"," 10635"," 12309"," 13351"," 14138"," 14644"," 14259"," 14400"," 13903"," 14085"," 14475"," 14083"," 17077"," 15325"," 14254"," 15901"," 16128"," 16319"," 17303"," 17376"," 19511"," 18301"," 19640"," 19796"," 19927"," 20162"," 19699"," 21309"," 21690"," 21361"," 21861"," 21641"," 23689"," 24425"," 22810"," 23200"," 23351"," 22616"," 22790"," 21838"," 24117"," 23806"," 23232"," 23746"," 25479"," 23818"
"2023F","OK","ESRPP"," 1015"," 1039"," 1212"," 1419"," 1538"," 1675"," 1810"," 1833"," 2141"," 2524"," 2841"," 2970"," 3446"," 3583"," 3725"," 3324"," 3291"," 3590"," 3789"," 3574"," 4048"," 4312"," 4410"," 4451"," 4340"," 4402"," 4274"," 4388"," 4570"," 4470"," 5423"," 4826"," 4426"," 4889"," 4916"," 4933"," 5180"," 5152"," 5730"," 5325"," 5686"," 5710"," 5711"," 5753"," 5588"," 6005"," 6035"," 5877"," 5958"," 5821"," 6300"," 6447"," 5972"," 6020"," 6020"," 5783"," 5802"," 5552"," 6116"," 6011"," 5859"," 5948"," 6328"," 5861"
"2023F","OK","ESTCB"," 23331"," 24626"," 27677"," 30985"," 33302"," 36147"," 39577"," 41422"," 46031"," 51757"," 56625"," 60599"," 69857"," 74084"," 77908"," 79382"," 83454"," 91487"," 97389"," 98283"," 106144"," 117230"," 122129"," 126138"," 122249"," 125158"," 122010"," 123161"," 127356"," 126269"," 145024"," 134448"," 130568"," 138293"," 140381"," 141231"," 147710"," 151673"," 163423"," 159465"," 169113"," 169463"," 168844"," 172061"," 173814"," 183249"," 187337"," 188319"," 192023"," 186106"," 197370"," 204197"," 202470"," 204478"," 210088"," 209280"," 209894"," 206399"," 220331"," 221084"," 212565"," 220160"," 237089"," 235356"
"2023F","OK","ESTCP"," 6838"," 7218"," 8112"," 9081"," 9760"," 10594"," 11599"," 12140"," 13491"," 15169"," 16596"," 17760"," 20474"," 21713"," 22833"," 23266"," 24459"," 26813"," 28543"," 28805"," 31109"," 34358"," 35794"," 36969"," 35829"," 36682"," 35759"," 36096"," 37326"," 37007"," 42504"," 39404"," 38267"," 40531"," 41143"," 41392"," 43291"," 44453"," 47897"," 46737"," 49564"," 49667"," 49485"," 50428"," 50942"," 53707"," 54905"," 55193"," 56279"," 54545"," 57846"," 59847"," 59341"," 59929"," 61573"," 61336"," 61517"," 60492"," 64575"," 64796"," 62299"," 64525"," 69487"," 68979"
"2023F","OK","ESTPP"," 2927"," 3033"," 3342"," 3723"," 3990"," 4342"," 4727"," 4877"," 5390"," 5984"," 6465"," 6782"," 7701"," 8054"," 8349"," 8385"," 8653"," 9343"," 9784"," 9681"," 10231"," 11097"," 11164"," 11235"," 10905"," 11213"," 10994"," 11245"," 11786"," 11747"," 13498"," 12409"," 11882"," 12462"," 12540"," 12512"," 12961"," 13179"," 14066"," 13598"," 14348"," 14325"," 14183"," 14388"," 14451"," 15135"," 15277"," 15187"," 15339"," 14672"," 15385"," 15796"," 15537"," 15550"," 15873"," 15685"," 15660"," 15378"," 16375"," 16360"," 15711"," 16163"," 17259"," 16974"
"2023F","OK","ESTXB"," 23331"," 24626"," 27677"," 30985"," 33302"," 36147"," 39577"," 41422"," 46031"," 51757"," 56625"," 60599"," 69857"," 74084"," 77908"," 79382"," 83454"," 91487"," 97389"," 98283"," 106144"," 117230"," 122129"," 126138"," 122249"," 125158"," 122010"," 123161"," 127356"," 126269"," 145024"," 134448"," 130568"," 138293"," 140381"," 141231"," 147710"," 151673"," 163423"," 159465"," 169113"," 169463"," 168844"," 172061"," 173814"," 183249"," 187337"," 188319"," 192023"," 186106"," 197370"," 204197"," 202470"," 204478"," 210088"," 209280"," 209894"," 206399"," 220331"," 221084"," 212565"," 220160"," 237089"," 235356"
"2023F","OK","ESTXP"," 6838"," 7218"," 8112"," 9081"," 9760"," 10594"," 11599"," 12140"," 13491"," 15169"," 16596"," 17760"," 20474"," 21713"," 22833"," 23266"," 24459"," 26813"," 28543"," 28805"," 31109"," 34358"," 35794"," 36969"," 35829"," 36682"," 35759"," 36096"," 37326"," 37007"," 42504"," 39404"," 38267"," 40531"," 41143"," 41392"," 43291"," 44453"," 47897"," 46737"," 49564"," 49667"," 49485"," 50428"," 50942"," 53707"," 54905"," 55193"," 56279"," 54545"," 57846"," 59847"," 59341"," 59929"," 61573"," 61336"," 61517"," 60492"," 64575"," 64796"," 62299"," 64525"," 69487"," 68979"
"2023F","OK","ESVHP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6"," 9"," 11"," 21"," 42"," 73"
"2023F","OK","EV0CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","EV1CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6"," 6"," 6"," 15"," 11"," 12"," 7"," 11"," 8"," 6"
"2023F","OK","EV2CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 42"," 61"," 86"," 162"," 236"," 313"," 360"," 452"," 509"," 567"
"2023F","OK","EV2CR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2.1"," 2.46"," 2.57"," 3.11"," 3.04"," 2.65"," 2.64"," 2.52"," 2.59"
"2023F","OK","EVCHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 26"," 32"," 48"," 122"," 170"," 270"," 304"," 456"," 731"," 1138"," 1163"," 1453"
"2023F","OK","EVCHP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 34"," 36"," 46"," 81"," 90"," 135"," 249"," 302"," 337"," 364"
"2023F","OK","EVDCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 55"," 78"," 93"," 57"," 131"," 364"," 675"," 646"," 880"
"2023F","OK","EVDCR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6.88"," 6"," 4.65"," 3.17"," 3.12"," 2.51"," 4.14"," 3.85"," 5.03"
"2023F","OK","EVNNP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2"," 4"," 8"," 16"," 21"," 16"," 16"," 7"," 7"
